Country,Count,lat,long
NICARAGUA,26,12.6090157,-85.2936911
THAILAND,453,7.4931858,124.724704
ISRAEL,207,30.8124247,34.8594762
COLOMBIA,1413,4.099917,-72.9088133
INDIA,57299,22.3511148,78.6677428
CHINA,13576,35.000074,104.999927
LEBANON,230,40.375713,-76.4626118
BRAZIL,3190,-10.3333333,-53.2
SOUTH KOREA,2672,36.638392,127.6961188
MEXICO,4994,19.4326296,-99.1331785
VENEZUELA,1068,8.0018709,-66.1109318
FRANCE,534,46.603354,1.8883335
NEW ZEALAND,42,-41.5000831,172.8344077
CANADA,1230,61.0666922,-107.991707
UNITED KINGDOM,677,54.7023545,-3.2765753
ITALY,347,42.6384261,12.674297
NIGERIA,882,9.6000359,7.9999721
ARGENTINA,347,-34.9964963,-64.9672817
VIETNAM,4360,15.9266657,107.9650855
GERMANY,344,51.1638175,10.4478313
BELGIUM,38,50.6402809,4.6667145
SINGAPORE,120,1.357107,103.8194992
SOUTH AFRICA,608,-28.8166236,24.991639
ZIMBABWE,346,-18.4554963,29.7468414
MALAYSIA,188,4.5693754,102.2656823
PHILIPPINES,3535,12.7503486,122.7312101
SWITZERLAND,46,46.7985624,8.2319736
BANGLADESH,1685,-0.2864982,36.0514231
GHANA,384,8.0300284,-1.0800271
BAHRAIN,22,26.1551249,50.5344606
PAKISTAN,1567,30.3308401,71.247499
NEPAL,1736,28.3780464,83.9999901
RUSSIA,472,64.6863136,97.7453061
UKRAINE,322,49.4871968,31.2718321
GEORGIA,40,32.3293809,-83.1137366
TUNISIA,34,36.8002068,10.1857757
URUGUAY,26,-32.8755548,-56.0201525
TAIWAN,1120,23.5983227,120.83537694479215
TURKEY,595,38.9597594,34.9249653
EL SALVADOR,264,13.8000382,-88.9140683
IRELAND,156,52.865196,-7.9794599
ARMENIA,75,4.536307,-75.6723751
JORDAN,145,44.6663146,-93.6261918
KUWAIT,66,29.3796532,47.9734174
ROMANIA,170,45.9852129,24.6859225
SAUDI ARABIA,180,25.6242618,42.3528328
BULGARIA,58,42.6073975,25.4856617
BURMA (MYANMAR),94,17.1750495,95.9999652
IRAN,548,32.6475314,54.5643516
KENYA,329,1.4419683,38.4313975
LIBYA,25,26.8234472,18.1236723
BAHAMAS,30,24.7736546,-78.0000547
QATAR,20,25.3336984,51.2295295
ALBANIA,201,1.2315264,-75.89204331320687
