H1B Fiscal Year,Cap Reached Date,H1B Cap Open Days,H1B Applications Received
2004,2/17/2004,322,85000
2005,10/1/2004,183,85000
2006,8/10/2005,131,85000
2007,5/26/2006,55,85000
2008,4/3/2007,2,123480
2009,4/7/2008,5,163000
2010,12/21/2009,264,85000
2011,1/26/2011,300,85000
2012,11/22/2011,235,85000
2013,6/11/2012,71,85000
2014,4/5/2013,5,124000
2015,4/7/2014,5,172500
2016,4/7/2015,5,233000
2017,4/7/2016,5,236000
2018,4/7/2017,5,199000
2019,4/6/2018,5,190098
2020,4/5/2019,5,201011
2021,3/20/2020,20,275000
2022,3/25/2021,15,308613
2023,3/18/2022,18,483927
2024,3/20/2023,20,780884
2025,3/20/2024,20,479953
