Fiscal Year,Employer,Total Approval,NAICS
2022,0 NORTH AVE WAKEFIELD LLC,13,53
2022,012 GLOBAL INC,46,99
2022,0965688 BC LTD DBA PROCOGIA,20,51
2022,1 800 CONTACTS INC,12,42
2022,1 800 FLOWERS COM INC,18,45
2022,1 A LIFESAFER INC,13,33
2022,1 NATUARL WAY LLC,4,42
2022,1 POINT SYSTEM LLC,5,54
2022,1 TO 1 THERAPIES INC,33,62
2022,"1 WORLD EDUCATION, INC.",33,61
2022,10 FOLD COMMUNICATIONS INC,37,54
2022,10 SOUTH STREET HOTEL OPERATOR LLC,24,72
2022,100 CHIRO HEIM LLC DBA 100 CHIROPRACTIC,35,62
2022,100MS INC,8,51
2022,100PLUS INC,11,56
2022,1010DATA SERVICES LLC,22,54
2022,1028 MICROPATENT,55,99
2022,1047 GAMES INC DBA SPLITGATE,18,51
2022,1052 PARTNERS INC DBA PEOPLECADDIE,4,56
2022,108 INFO SYSTEM LLC,21,54
2022,10BITS LLC,25,54
2022,10X GENOMICS INC,217,54
2022,110 HOLDINGS LLC,5,54
2022,1199 NATIONAL BENEFIT FUND FOR HEALTH HUMAN SERVICE EMPLOYEES,36,52
2022,12 INTERACTIVE LLC,1,54
2022,120 DEGREEZ ENGINEERING,166,54
2022,1211 WPR MED SVCS PC DBA BRONXDOCS,13,62
2022,13 RATTLES INC,27,42
2022,14 STREET MEDICAL PC,12,62
2022,14 WEST ADMINISTRATIVE SVCS LLC,4,51
2022,1540 VISION DRIVE LLC DBA MOUNDVIEW DAIRY,5,31
2022,15FIVE INC,7,54
2022,161 ST PHARMA INC,9,44
2022,1661 INC D/B/A GOAT,26,45
2022,168 TRADING US FUND LP,158,52
2022,1788 CHICKEN LLC,16,72
2022,188 ONLINE LLC DBA NILI LOTAN,6,54
2022,1898 CAPITAL MANAGEMENT LLC,5,52
2022,19 VARNUM ST OPERATING CO LLC,35,62
2022,1910 GENETICS INC,5,99
2022,1970 GROUP INC,18,52
2022,1A1 INNOVATIONS LLC,24,54
2022,1BYONE PRODUCTS INC,27,42
2022,1DATASCIENCE INC D/B/A THINC360,1,56
2022,1LIFE HEALTHCARE INC,34,62
2022,1NTEGER LLC D/B/A KHARON,742,51
2022,1PERFECTCHOICE,61,42
2022,1POINT3ACRES LLC,14,51
2022,1RIVET US INC,26,99
2022,1ST CHOICE DENTAL,6,62
2022,1ST COAST NO MORE HOMELESS PETS IN,37,54
2022,1ST DENTAL CARE LLC,61,62
2022,1ST FAMILY DENTAL PC,15,62
2022,1ST RANKING TECHNOLOGIES,29,54
2022,1STDIBS COM INC,15,45
2022,1UPHEALTH INC,10,54
2022,1WORLDSYNC INC,4,54
2022,2 7 AUGUST APPAREL INC,23,99
2022,2 CUBE GLOBAL INC,14,48
2022,2 SAAB CONSTRUCTION INC,47,23
2022,2 SWEET OF YONKERS INC DBA AUNTIE,11,44
2022,20 20 FINANCIAL CONSULTING INC DBA 20 20 TAX RESOLUTION INC,12,52
2022,2010 OFFICE FURNITURE INC,46,44
2022,208 FOOT SPA LLC,29,71
2022,21 STAFF LLC,19,54
2022,212 DESIGN INC,8,54
2022,213 MANAGEMENT LLC,47,52
2022,21MEDTECH LLC,56,33
2022,22 STREET SAI LLC,57,72
2022,22ND CENTURY TECHNOLOGIES INC,77,54
2022,22SQUARED INC,11,54
2022,23ANDME INC,43,62
2022,24 7 AI INC,24,54
2022,24 ON PHYSICIANS PC,16,62
2022,247JOBHUNT INC,219,54
2022,24G LLC,38,54
2022,24M TECHNOLOGIES INC,7,54
2022,24X7ESI INCORPORATED,176,54
2022,24X7SYSTEMS INC,21,54
2022,252 SOLUTIONS LLC,23,54
2022,2600HZ INC,10,51
2022,27 VIRTUAL CONSULTING LLC,130,54
2022,2A USA INC,16,33
2022,2FLO VENTURES LLC,6,52
2022,2GO PRODUCTS LLC,42,45
2022,2H OFFSHORE INC,34,54
2022,2IM GROUP LLC,8,54
2022,2K GAMES INC,20,51
2022,"2K VEGAS, INC.",16,51
2022,2M ARCHITECTURE,15,54
2022,2M RESEARCH SERVICES LLC,130,54
2022,2M SOLUTIONS INC,34,56
2022,2MC EMPLOYEE MANAGEMENT LLC,30,45
2022,2ND ORDER SOLUTIONS INC,12,52
2022,2ND STREET USA INC,7,45
2022,2RW CONSULTANTS INC,81,54
2022,2SEVENTY BIO INC,38,54
2022,2U INC,134,54
2022,3 ATHLETICS LLC D/B/A RCW ATHLETIC,14,99
2022,3 GIS LLC,72,54
2022,3 KEY CONSULTING INC,21,54
2022,3 ROCKS ENGINEERING LLC,22,54
2022,300 ENGRG GROUP PA,91,54
2022,312 MILLBURY OPERATING CO LLC DBA,28,62
2022,314E CORPORATION,15,54
2022,317 LABS INC DBA EMOTIVE,4,54
2022,33ACROSS INC,11,54
2022,360 DEGREE CUSTOMER INC,19,62
2022,"360 ENGINEERING GROUP, PLLC",6,54
2022,360 PROPERTIES LLC,169,54
2022,365 RETAIL MARKETS LLC,54,51
2022,3835 MAIN LLC,34,72
2022,3AMIGOSIT LLC,3,54
2022,3B STAFFING LLC,28,54
2022,3BEES TECHNOLOGIES INC,38,54
